entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
commercial,container,Neutral,Vehicle,LOW,,,fomite,vehicle
eco,vehicle,Neutral,Vehicle,LOW,,,fomite,vehicle
mail,vehicle,Neutral,Vehicle,LOW,,,fomite,vehicle
passenger,vehicle,Neutral,Vehicle,LOW,,,fomite,vehicle
unknown,unknown,Neutral,Vehicle,LOW,,,fomite,vehicle
commercial,container,Animal,"Tostado, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Tostado, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Tostado, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Tostado, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Tostado, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Swine materials from SVD SR regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Swine materials from SVD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Swine materials from SVD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Swine materials from SVD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Swine materials from SVD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Swine materials from SVD regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Swine materials from SVD regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Swine materials from SVD regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Swine materials from SVD regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Swine materials from SVD regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Soup, Mix w/ Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Soup, Mix w/ Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Soup, Mix w/ Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Soup, Mix w/ Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Soup, Mix w/ Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Serum, Biological",LOW,LOW,LOW,other products,plasma
eco,package,Animal,"Serum, Biological",LOW,LOW,LOW,other products,plasma
mail,package,Animal,"Serum, Biological",LOW,LOW,LOW,other products,plasma
passenger,baggage,Animal,"Serum, Biological",LOW,LOW,LOW,other products,plasma
unknown,unknown,Animal,"Serum, Biological",LOW,LOW,LOW,other products,plasma
commercial,container,Animal,Semen Container,LOW,LOW,LOW,other products,semen
eco,package,Animal,Semen Container,LOW,LOW,LOW,other products,semen
mail,package,Animal,Semen Container,LOW,LOW,LOW,other products,semen
passenger,baggage,Animal,Semen Container,LOW,LOW,LOW,other products,semen
unknown,unknown,Animal,Semen Container,LOW,LOW,LOW,other products,semen
commercial,container,Animal,"Sandwich, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Sandwich, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Sandwich, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Sandwich, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Sandwich, Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Ruminant or Swine materials from FMD SR regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,Ruminant or Swine materials from FMD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,Ruminant or Swine materials from FMD SR regions,HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
