Program (original),Activity (original),POE,Conveyance,Conveyance subtype,pathway type,Container_edge,Pathway,Subpathway,Notes,quantification_purpose,Activity1,Activity2,Activity3,Activity4,Activity.description,Activity.description.formula,program.subcat,land.border.passenger.program,passenger.pathway
Airport,Airport Aircraft Garbage Violation CBP/PPQ 592,Airport,Aircraft,unspecified,regulated garbage,garbage,unspecified,unspecified,,interception_or_violation,Airport Aircraft Garbage Violation CBP/PPQ 592,aircraft,non-passenger related,non-passenger related,Record the number of aircraft garbage violations issued. Source document is the CBP-AI/PPQ 592.,Record the number of aircraft garbage violations issued. Source document is the CBP-AI/PPQ 592.,Aircraft,N/A,N/A
Airport,Airport Aircraft Notification Violation CBP/PPQ 592,Airport,Aircraft,unspecified,passenger pathway,conveyance,unspecified,unspecified,,interception_or_violation,Airport Aircraft Notification Violation CBP/PPQ 592,aircraft,non-passenger related,non-passenger related,Record the number of notification violations issued. Source document is the CBP-AI/PPQ 592.,Record the number of notification violations issued. Source document is the CBP-AI/PPQ 592.,Aircraft,N/A,N/A
Airport,Airport Aircraft QMIs - Meat/Poultry/Dairy,Airport,Aircraft,unspecified,passenger pathway,conveyance,swine_products_byproducts,personal_use_consumption,,interception_or_violation,Airport Aircraft QMIs - Meat/Poultry/Dairy,aircraft,non-passenger related,non-passenger related,Record the number of meat/poultry/dairy interceptions found in the quarters of an arriving aircraft. Record any seizures by CBP Agriculture Specialist when they board aircraft.,Record the number of meat/poultry/dairy interceptions found in the quarters of an arriving aircraft. Record any seizures by CBP Agriculture Specialist when they board aircraft.,Aircraft,N/A,N/A
Airport,Airport Aircraft QMIs - Meat/Poultry/Dairy Byproducts,Airport,Aircraft,unspecified,passenger pathway,conveyance,swine_products_byproducts,personal_use_consumption,,interception_or_violation,Airport Aircraft QMIs - Meat/Poultry/Dairy Byproducts,aircraft,non-passenger related,non-passenger related,Record the number of meat/poultry/dairy animal byproduct interceptions from the quarters of an arriving aircraft.,Record the number of meat/poultry/dairy animal byproduct interceptions from the quarters of an arriving aircraft.,Aircraft,N/A,N/A
Airport,Airport Aircraft QMIs - Other Meat,Airport,Aircraft,unspecified,passenger pathway,conveyance,na,,,,Airport Aircraft QMIs - Other Meat,aircraft,non-passenger related,non-passenger related,"Record the number of other meat interceptions found during boarding of aircraft that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.","Record the number of other meat interceptions found during boarding of aircraft that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.",Aircraft,N/A,N/A
Airport,Airport Aircraft QMIs - Other Meat Byproducts,Airport,Aircraft,unspecified,passenger pathway,conveyance,na,,,,Airport Aircraft QMIs - Other Meat Byproducts,aircraft,non-passenger related,non-passenger related,"Record the number of other animal byproduct interceptions found during boarding of aircraft that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.","Record the number of other animal byproduct interceptions found during boarding of aircraft that do not fall under the MEAT/POULTRY/DAIRY category.  Examples would include bush meat, monkey, rodents, mammals, and other unidentifiable meat products. These are products not classified as dairy,  avian, swine, or ruminant.",Aircraft,N/A,N/A
Airport,"Airport Aircraft Total Pest Interceptions Submitted Stores, Quarters,",Airport,Aircraft,unspecified,passenger pathway,unspecified,na,,,,"Airport Aircraft Total Pest Interceptions Submitted Stores, Quarters,",aircraft,non-passenger related,non-passenger related,"Record the total number of pests intercepted and submitted for identification from aircraft galley, quarters, stores, and holds.","Record the total number of pests intercepted and submitted for identification from aircraft galley, quarters, stores, and holds.",Aircraft,N/A,N/A
Airport,Airport Baggage Civil Penalties Passenger/Crew,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,Civil Penalties Passenger/Crew - Baggage ,number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),number of people issued civil penalties (CBP-AI Form 591),"Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).","Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).",Passenger,N/A,Airport Passenger
Airport,Airport Baggage Hatching Eggs Seized,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,Hatching Eggs Seized - Baggage ,Hatching Eggs Seized,Animal QMIs,Animal QMIs,Record the total number of hatching eggs seized from an arriving air passenger or crew member.  Source document is Form VS 17-8A.,Record the total number of hatching eggs seized from an arriving air passenger or crew member.  Source document is Form VS 17-8A.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage Live Birds Seized,Airport,Aircraft,passenger,passenger pathway,baggage,live animals,birds,,interception_or_violation,Live Birds Seized - Baggage ,Live Birds Seized,Animal QMIs,Animal QMIs,"Record the total number of birds seized from an arriving air passenger or crew member.  Source document VS 17-8.  This code is paired with 1045A, if birds are seized.","Record the total number of birds seized from an arriving air passenger or crew member.  Source document VS 17-8.  This code is paired with 1045A, if birds are seized.",Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Avian,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Avian - Baggage ,QMIs Avian,Animal QMIs,Animal QMIs,Record the number of Avian interceptions from air passenger/crew baggage inspection.,Record the number of Avian interceptions from air passenger/crew baggage inspection.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Avian Byproduct,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Avian Byproduct - Baggage ,QMIs Avian Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Avian byproducts from air passenger/crew baggage.,Record the number of inedible Avian byproducts from air passenger/crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Dairy Byproduct,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Dairy Byproduct - Baggage ,QMIs Dairy Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Dairy byproducts from air passenger/crew baggage.,Record the number of inedible Dairy byproducts from air passenger/crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Other Meat,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Other Meat - Baggage ,QMIs Other Meat,Animal QMIs,Animal QMIs,"Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from air passenger/crew baggage inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.","Record the number of other meat intercepted that does not fall under the dairy, avian, swine, or ruminant categories from air passenger/crew baggage inspections.  Examples would include bush meat, monkey, rodents, equine, and other unidentifiable meat products.",Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Other Meat Byproducts,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Other Meat Byproducts - Baggage ,QMIs Other Meat Byproducts,Animal QMIs,Animal QMIs,"Record the number of other inedible animal byproducts from air passenger/crew baggage.  These are byproducts not classified as dairy, avian, swine, or ruminant.","Record the number of other inedible animal byproducts from air passenger/crew baggage.  These are byproducts not classified as dairy, avian, swine, or ruminant.",Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Ruminant,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Ruminant - Baggage ,QMIs Ruminant,Animal QMIs,Animal QMIs,Record the number of Ruminant interceptions from air passenger/crew baggage inspection.,Record the number of Ruminant interceptions from air passenger/crew baggage inspection.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Ruminant Byproduct,Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,QMIs Ruminant Byproduct - Baggage ,QMIs Ruminant Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Ruminant byproducts from air passenger/crew baggage.,Record the number of inedible Ruminant byproducts from air passenger/crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Swine,Airport,Aircraft,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine - Baggage ,QMIs Swine,Animal QMIs,Animal QMIs,Record the number of Swine interceptions from air passenger/crew baggage inspection.,Record the number of Swine interceptions from air passenger/crew baggage inspection.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage QMIs Swine Byproduct,Airport,Aircraft,passenger,passenger pathway,baggage,swine_products_byproducts,personal_use_consumption,,interception_or_violation,QMIs Swine Byproduct - Baggage ,QMIs Swine Byproduct,Animal QMIs,Animal QMIs,Record the number of inedible Swine byproducts from air passenger/crew baggage.,Record the number of inedible Swine byproducts from air passenger/crew baggage.,Passenger,N/A,Airport Passenger
Airport,Airport Baggage VS 17-8 Issued (Pet Birds),Airport,Aircraft,passenger,passenger pathway,baggage,na,,,,VS 17-8 Issued (Pet Birds) - Baggage ,VS 17-8 Issued (Pet Birds),Animal QMIs,Animal QMIs,"Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from an arriving air passenger, crew member, or Air & Marine.  This code is paired with 1045B, if birds are seized.","Record the number of VS 17-8 (Agreement of Pet Bird Owner) issued from an arriving air passenger, crew member, or Air & Marine.  This code is paired with 1045B, if birds are seized.",Passenger,N/A,Airport Passenger
Airport,Airport Cargo QMIs - Meat/Poultry/Dairy,Airport,Aircraft,cargo,ag cargo,cargo_shipment,swine_products_byproducts,commercial_imports,,interception_or_violation,Airport Cargo QMIs - Meat/Poultry/Dairy,non-passenger related,non-passenger related,non-passenger related,Record the number of meat/poultry/dairy interceptions found incidental in the inspection of cargo.,Record the number of meat/poultry/dairy interceptions found incidental in the inspection of cargo.,Cargo,N/A,N/A
