"","ID","CODE","SHORT_DESCRIPTION","LONG_DESCRIPTION","COMMENTS","CREATED_BY_USER_ID","CREATED_DATETIME","MODIFIED_BY_USER_ID","MODIFIED_DATETIME","REF_WADS_PROGRAM_ID","REF_WADS_DEPARTMENT_ID","IS_ACTIVE","IS_MANUAL_ENTRY_ALLOWED"
"1",0,"0","Not Specified","Not Specified",NA,0,"2011-06-08 10:44:39.0000000",NA,NA,0,0,TRUE,TRUE
"2",1,"1001","Maritime All Direct Foreign Arrivals","Record the total number of vessels arriving directly from a foreign port. This includes Vessels from Canada, Vessels that transit the Panama Canal in route between U.S. ports, Vessels on deferred boarding, Ocean going tugs, Yachts, Pleasure boats, Fishing boats, ferry boats, etc. All vessels which meet the above criteria should be counted regardless of whether they were boarded by CBP. (Exclude vessels for bunkers, barges, pilot vessels, local harbor tugs)",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:46:22.0000000",1,2,TRUE,TRUE
"3",2,"1002","Maritime All Coastwise Arrivals","Record all foreign origin vessels arriving via a U.S. port.  This includes foreign origin vessels arriving via Hawaii, Puerto Rico, U.S. Virgin Islands, Alaska. This also includes vessels arriving from U.S. mainland ports via Canadian Ports.  Example:  (1) Boston - Halifax - Brooklyn; (2) Seattle - Vancouver - Long Beach.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-10-01 12:45:48.0000000",1,2,TRUE,TRUE
"4",3,"1003","Maritime Direct Foreign Ship Inspections","Record the number of direct foreign commercial vessels boarded and inspected . Include ferry boats, cruise ships, tankers, bulk carriers,  and ocean-going tugs. Do not include vessels listed under code 1005.  Source document is Form 288.",NA,0,"2011-12-05 15:24:53.0000000",0,"2009-03-03 09:23:23.0000000",1,2,TRUE,TRUE
"5",4,"1004","Maritime Coastwise Ship Inspections","Record the number of coastwise vessels boarded and inspected.  Source document is Form 288.",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:48:04.0000000",1,2,TRUE,TRUE
"6",5,"1005","Maritime Other Ship Inspections","Record the number of military, yachts, fishing vessels, historical craft, etc.  Do not include vessels listed under code 1003.  Source document is Form 288.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:48:35.0000000",1,2,TRUE,TRUE
"7",6,"1006","Maritime Ships Monitored For Garbage Control and Seal Checks","Record spot-check visits to both commercial and non-commercial vessels to assess compliance with garbage regulations and/or seal checks. Source document is Form 288.
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 13:49:43.0000000",1,2,TRUE,TRUE
"8",10,"1017","Maritime Baggage Civil Penalties Passenger/Crew","Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).
",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:21:06.0000000",1,2,TRUE,TRUE
"9",12,"1020","Treatments, Maritime Cargo, Fumigation ","Report the number of fumigations performed on cargo shipments within the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. If one stack contains 5 B/Ls, it is still only one fumigation.",NA,0,"2011-12-05 15:24:53.0000000",0,"2004-03-08 09:31:39.0000000",45,1,TRUE,TRUE
"10",13,"1021","Maritime Cargo/Conveyance Mitigations/Safeguards, Non-Fumigation","Record the number of non-fumigation mitigations/safeguards performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)",NA,0,"2011-12-05 15:24:53.0000000",0,"2008-03-10 14:24:47.0000000",1,2,TRUE,TRUE
