CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION,REF_WADS_DEPARTMENT_ID,applicability,quantification_purpose,quantification_of,entry_type,PoE,convey_type,conveyance,container_edge,Notes,product_pathway,product_subpathway,PATHWAY
0,Not Specified,Not Specified,0,,,,,,,,,,,,
1001,Maritime All Direct Foreign Arrivals,"Record the total number of vessels arriving directly from a foreign port. This includes Vessels from Canada, Vessels that transit the Panama Canal in route between U.S. ports, Vessels on deferred boarding, Ocean going tugs, Yachts, Pleasure boats, Fishing boats, ferry boats, etc. All vessels which meet the above criteria should be counted regardless of whether they were boarded by CBP. (Exclude vessels for bunkers, barges, pilot vessels, local harbor tugs)",2,1,arrival,vehicle,all,maritime,vessel,all,vehicle,,,,
1002,Maritime All Coastwise Arrivals,"Record all foreign origin vessels arriving via a U.S. port.  This includes foreign origin vessels arriving via Hawaii, Puerto Rico, U.S. Virgin Islands, Alaska. This also includes vessels arriving from U.S. mainland ports via Canadian Ports.  Example:  (1) Boston - Halifax - Brooklyn; (2) Seattle - Vancouver - Long Beach.",2,,,,,,,,,,,,
1003,Maritime Direct Foreign Ship Inspections,"Record the number of direct foreign commercial vessels boarded and inspected . Include ferry boats, cruise ships, tankers, bulk carriers,  and ocean-going tugs. Do not include vessels listed under code 1005.  Source document is Form 288.",2,,inspections,,all,maritime,vessel,passenger vessels,vehicle,,,,
1004,Maritime Coastwise Ship Inspections,Record the number of coastwise vessels boarded and inspected.  Source document is Form 288.,2,,,,,,,,,,,,
1005,Maritime Other Ship Inspections,"Record the number of military, yachts, fishing vessels, historical craft, etc.  Do not include vessels listed under code 1003.  Source document is Form 288.
",2,,inspections,,all,maritime,vessel,private vessel,vehicle,,,,
1006,Maritime Ships Monitored For Garbage Control and Seal Checks,"Record spot-check visits to both commercial and non-commercial vessels to assess compliance with garbage regulations and/or seal checks. Source document is Form 288.
",2,,,,,,,,,,,,
1017,Maritime Baggage Civil Penalties Passenger/Crew,"Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).
",2,,,,,,,,,,,,
1020,"Treatments, Maritime Cargo, Fumigation ","Report the number of fumigations performed on cargo shipments within the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. If one stack contains 5 B/Ls, it is still only one fumigation.",1,,,,,,,,,,,,
1021,"Maritime Cargo/Conveyance Mitigations/Safeguards, Non-Fumigation","Record the number of non-fumigation mitigations/safeguards performed in/on/with cargo or conveyance. Include cleaning/disinfection of conveyances, removing rice straw, washing (steam- cleaning) dirty vehicles, aerosol applications, destroying or re-exporting prohibited commodities such as orange peel, and reconditioning of cargo or violative WPM. (For animal-related treatments, see activity code 1154.)",2,,,,,,,,,,,,
1022,"Maritime Garbage Disposal, Entries ",Record the number of garbage removals from vessels. This activity code is paired with activity code 1023.,2,,,,,,,,,,,,
1023,"Maritime Garbage Disposal, Weight",Record the weight in kilograms of garbage removed from vessels. Weight on commercial disposal may be obtained from the weight ticket given to the truck driver at the scales when the driver exits from the disposal facility. See code 1022.,2,1,arrival,commodity,all,maritime,vessel,passenger vessels,garbage,,,,RG_maritime
1024,"Maritime Violations, Reported To USCG",Record the number of MARPOL violations reported to the US Coast Guard. Source document is the PPQ 288.,2,,,,,,,,,,,,
1030,All Direct Foreign Arrival Aircraft,"Record the total number of all commercial, private, and military direct foreign arriving aircraft, including gas and goes.  Exclude all pre-cleared flights.
",2,1,arrival,vehicle,all,airport,aircraft,all,vehicle,number of all planes,,,
1031,Commercial Passenger Aircraft Inspections,"Record the number of commercial passenger aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.   
",2,,,,,,,,,,,,
1032,Commercial Cargo Aircraft Inspections,"Record the number of commercial cargo aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.
",2,,,,,,,,,,,,
1033,"Inspections, Other Aircraft ","Record the number of noncommercial aircraft in which stores, quarters, and/or holds are physically inspected by CBP agriculture.  Include in this category private, corporate, and military aircraft. 
",2,,,,,,,,,,,,
1037,Airport QMIs Plant- Baggage,Record the number of plant QMIs intercepted from passenger and/or crew baggage. NOTE: Three different fruits would count as three interceptions out of baggage. Three oranges seized out of the baggage of one passenger would count as one interception.,2,,,,,,,,,,,,
1045,Airport Baggage Civil Penalties Passenger/Crew,"Record the number of passenger/crew civil penalties issued, (CBP-AI Form 591).
",2,,,,,,,,,,,,
1048,"Treatments, Air Cargo, Fumigation","Report the number fumigations performed on cargo shipments within the regular hours of service. The source form is APHIS 8030 or 429. Each stack, hence each APHIS 8030/429, counts as one fumigation. Note: If one stack contains five airway bills, it is still only one fumigation. A chamber fumigation may contain more than one airway bill, but it is only one fumigation.",1,,,,,,,,,,,,
