task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME,container,ITEM_TYPE,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
TK:3485:25,Puerto Rico,IBL 25-027,2024-12-31,"Animal # 5.0 pounds
Plant # 0.5 pounds",2.26796,0.226796,18.48788,-66.66892,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3308:25,Puerto Rico,IBL 25-026,2024-12-26,"Animal # 52.00
Plant # 10.00",23.586784,4.53592,17.97802,-66.61869,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3237:25,Puerto Rico,IBL 25-025,2024-12-21,"Animal # 5.30
Plant # 0.0",2.4040376,0,18.06163,-65.82183,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3220:25,Puerto Rico,IBL 25-024,2024-12-21,"Animal # 4.50
Plant # 1.50",2.041164,0.680388,18.09176,-67.19871,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3084:25,Puerto Rico,IBL 25-023,2024-12-16,"Animal #1.5
Plant #0",0.680388,0,17.96111,-67.21402,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3037:25,Puerto Rico,IBL 25-022,2024-12-16,"Animal# 2.0 pounds
Plant# 0.0 pounds",0.907184,0,18.01286,-67.16998,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:2995:25,Puerto Rico,IBL 25-021,2024-12-14,"Animal #7
Plant #4",3.175144,1.814368,18.48578,-66.59198,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:2819:25,Puerto Rico,IBL 25-020,2024-12-08,"Animal #0
Plant #14",0,6.350288,17.97455,-66.54152,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:2568:25,Puerto Rico,IBL 25-019,2024-12-01,"Animal #6.5 pounds
Plant # 0.0 pounds",2.948348,0,18.51367,-67.08047,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:2542:25,Puerto Rico,IBL 25-018,2024-11-30,"Animal# 5.0 pounds
Plant# 20.0 pounds",2.26796,9.07184,18.48395,-66.54066,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:2532:25,Puerto Rico,IBL 25-017,2024-11-29,"Animal # 5.00
Plant #20.00",2.26796,9.07184,18.49078,-66.60923,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1940:25,Puerto Rico,IBL 25-016,2024-11-12,"Animal# 13.0 pounds
Plant# 2.0 pounds",5.896696,0.907184,18.49065,-66.60759,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1818:25,Puerto Rico,IBL 25-015,2024-11-10,"Animal # 0.7
Plant # 0.0",0.3175144,0,18.48931,-66.60411,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1783:25,Puerto Rico,IBL 25-014,2024-11-09,"Animal # 0.0
Plants # 0.0",0,0,18.49231,-66.97936,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3792:25,Florida,IBL 25-014,2024-12-31,Data provided by CBP,NA,NA,25.28595,-80.28945,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1430:25,Puerto Rico,IBL 25-013,2024-10-27,"ANIMAL # 5
PLANT # 1",2.26796,0.453592,18.4476,-65.93655,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3791:25,Florida,IBL 25-013,2024-12-29,Data provided by CBP,NA,NA,24.55205,-81.7565,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3790:25,Florida,IBL 25-012,2024-12-27,Data provided by CBP,NA,NA,26.20451,-80.09377,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1403:25,Puerto Rico,IBL 25-012,2024-10-23,"Animal # 30.70
Plant # 0.00",13.9252744,0,18.48789,-66.88491,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3789:25,Florida,IBL 25-011,2024-12-26,Data provided by CBP,NA,NA,24.55196,-81.76866,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1349:25,Puerto Rico,IBL 25-011,2024-10-20,"Animal # 0.0
Plant # 0.5",0,0.226796,18.01284,-67.17008,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3787:25,Florida,IBL 25-010,2024-12-10,Data provided by CBP,NA,NA,25.90689,-80.12461,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1348:25,Puerto Rico,IBL 25-010,2024-10-19,"Animal # 0.0
Plant # 0.0",0,0,18.01276,-67.17018,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1347:25,Puerto Rico,IBL 25-009,2024-10-16,"Animal # 0.0 
Plant # 0.0",0,0,18.2921,-67.19836,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3785:25,Florida,IBL 25-009,2024-11-25,Data provided by CBP,NA,NA,26.80788,-80.03378,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1012:25,Puerto Rico,IBL 25-008,2024-10-15,"Animal # 12.60
Plant # 11.00",5.7152592,4.9895119999999995,17.9785,-66.6186,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3783:25,Florida,IBL 25-008,2024-11-24,Data provided by CBP,NA,NA,26.54751,-80.04196,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1322:25,Puerto Rico,IBL 25-007,2024-10-11,"Animal # 14.3
Plant # 5",6.4863656,2.26796,18.01292,-67.16993,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3782:25,Florida,IBL 25-007,2024-11-19,Data provided by CBP,NA,NA,26.2606,-80.0963,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1558:25,Puerto Rico,IBL 25-006,2024-10-09,"Animal # 0
Plant # 0",0,0,18.01277,-67.17009,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3781:25,Florida,IBL 25-006,2024-11-18,Data provided by CBP,NA,NA,25.90076,-80.12127,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3780:25,Florida,IBL 25-006,2024-11-18,Data provided by CBP,NA,NA,25.90076,-80.12127,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
