task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME
TK:9925:25,Puerto Rico,IBL 25-063,2025-08-10T23:00:00Z,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,17.93761,-66.14427,IBL,,passenger,NA,Animal_IBL
TK:9914:25,Puerto Rico,IBL 25-062,2025-08-10T23:00:00Z,"Animal #24 lbs.
Plant #5 lbs.",10.886208,2.26796,17.97802,-66.61869,IBL,,passenger,NA,Animal_IBL
TK:9910:25,Puerto Rico,IBL 25-061,2025-08-06T23:00:00Z,"Animal# 0
Plant# 0",0,0,18.48842,-66.42261,IBL,,passenger,NA,Animal_IBL
TK:9851:25,Puerto Rico,IBL 25-060,2025-08-05T23:00:00Z,"Animal # 14,0 pounds
Plant # 2.5 pounds",6.350288,1.13398,18.01295,-67.17002,IBL,,passenger,NA,Animal_IBL
TK:9800:25,Puerto Rico,IBL 25-059,2025-08-02T23:00:00Z,"ANIMAL #0
PLANT #16",0,7.257472,18.43642,-65.87024,IBL,,passenger,NA,Animal_IBL
TK:9148:25,Puerto Rico,IBL 25-058,2025-07-20T23:00:00Z,"Animal #6.8 lbs.
Plant #2 lbs.",3.0844256,0.907184,18.01297,-67.16994,IBL,,passenger,NA,Animal_IBL
TK:9088:25,Puerto Rico,IBL 25-057,2025-07-08T23:00:00Z,No product recovered.    I kept in touch for a week with the agencies taking care of this case and they are going to leave the boat at the reef. They don't have a way to tow it out of the reef.,NA,NA,17.92733,-66.366,IBL,,passenger,NA,Animal_IBL
TK:8971:25,Puerto Rico,IBL 25-056,2025-07-10T23:00:00Z,"Animal #11.3 lbs.
Plant #0 lbs.",5.1255896000000005,0,18.0063,-65.86647,IBL,,passenger,NA,Animal_IBL
TK:8970:25,Puerto Rico,IBL 25-055,2025-07-10T23:00:00Z,"Animal #7.1 lbs.
Plant #2 lbs.",3.2205032,0.907184,18.11902,-65.78039,IBL,,passenger,NA,Animal_IBL
TK:8610:25,Puerto Rico,IBL 25-054,2025-06-26T23:00:00Z,"Animal # 35.0 pounds
Plant # 21.0 pounds",15.87572,9.525432,17.92949,-66.15754,IBL,,passenger,NA,Animal_IBL
TK:8593:25,Puerto Rico,IBL 25-053,2025-06-24T23:00:00Z,"Animal # 4.0
Plants # 1.0",1.814368,0.453592,18.50986,-67.021,IBL,,passenger,NA,Animal_IBL
TK:8528:25,Puerto Rico,IBL 25-052,2025-06-24T23:00:00Z,"Animal #13.4 lbs.
Plant #0 lbs.",6.0781328,0,18.01298,-67.17002,IBL,,passenger,NA,Animal_IBL
TK:8478:25,Puerto Rico,IBL 25-051,2025-06-20T23:00:00Z,"Animal # 0 lbs.
Plant # 0 lbs.",0,0,18.49948,-67.14789,IBL,,passenger,NA,Animal_IBL
TK:8468:25,Puerto Rico,IBL 25-050,2025-06-20T23:00:00Z,"Animal #5.5 lbs.
Plant #0 lbs.",2.4947559999999998,0,18.33288,-67.25325,IBL,,passenger,NA,Animal_IBL
TK:8361:25,Puerto Rico,IBL 25-049,2025-06-16T23:00:00Z,"Animal #30 pounds
Plants #5 pounds",13.607759999999999,2.26796,18.49042,-66.86783,IBL,,passenger,NA,Animal_IBL
TK:8320:25,Puerto Rico,IBL 25-048,2025-06-15T23:00:00Z,"ANIMAL #0
PLANT #3",0,1.360776,18.43685,-65.87281,IBL,,passenger,NA,Animal_IBL
