"PATHWAY","avg_group_size","median_group_size","min_group_size","max_group_size","count"
"Airport - Aircraft - Cargo - CBP",1,1,1,1,5227
"Airport - Aircraft - Passenger - Predeparture",1.94625162354246,2,1,99,68523
"Airport - Aircraft - Person - CBP",1.4077301736748,1,1,71,306953
"Airport - Aircraft - Person - Pre-Clearance",1.65633120718167,1,1,50,50796
"Cruise_ship",1.8666313559322,2,1,21,37760
"Express_courier",1,1,1,1,67908
"Land Border - Truck - Cargo - CBP NB",1,1,1,1,8131
"Land Border - Truck - Cargo - CBP SB",1,1,1,1,1904
"Land Border - Truck - Conveyance - CBP NB",2.13868713169796,2,1,83,138643
"Land Border - Truck - Conveyance - CBP SB",1.95808480768187,2,1,51,257854
"Maritime Port - Vessel - Cargo - CBP",1,1,1,1,13227
"Maritime Port - Vessel - Mail - CBP",1,1,1,1,62812
"Pedestrian SB",1.536061950693,1,1,400,291845
