"group","pathway","container","product_pathway","product_subpathway","probability","ci_lower","ci_upper","product_proportion","n_locations","scenario","date_created","method"
"Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",0.00745907480266068,0.00583975692217563,0.0119794728148834,0.977167182662539,29,"current",2025-12-16,"glm"
"Airport - Aircraft - Person - CBP;baggage;other products;animal-based feed","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",0.000159520807660862,0.000124889851008905,0.000256194666140081,0.0208978328173375,29,"current",2025-12-16,"glm"
"Airport - Aircraft - Person - CBP;baggage;swine products/by-products;smuggled commercial products","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",1.47704451537835e-05,1.15638750934171e-05,2.37217283463038e-05,0.00193498452012384,29,"current",2025-12-16,"glm"
"Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",0.000359630342409546,0.000193350854178035,0.00085222994854993,0.91304347826087,6,"current",2025-12-16,"glm"
"Airport - Aircraft - Person - Pre-Clearance;baggage;other products;animal-based feed","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",3.42505088009092e-05,1.84143670645747e-05,8.11647570047553e-05,0.0869565217391304,6,"current",2025-12-16,"glm"
"Express_courier;package;swine products/by-products;personal use or consumption","Express_courier","package","swine products/by-products","personal use or consumption",0.000511541401557961,0.000366690737618662,0.000756216057417422,0.92156862745098,5,"current",2025-12-16,"glm"
"Express_courier;package;other products;unspecified feed","Express_courier","package","other products","unspecified feed",3.26515788228485e-05,2.34057917628933e-05,4.82691100479206e-05,0.0588235294117647,5,"current",2025-12-16,"glm"
"Express_courier;package;swine products/by-products;smuggled commercial products","Express_courier","package","swine products/by-products","smuggled commercial products",1.08838596076162e-05,7.80193058763111e-06,1.60897033493069e-05,0.0196078431372549,5,"current",2025-12-16,"glm"
"Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",6.6391093322412e-05,1.94440184266018e-05,0.000261576513198707,1,25,"current",2025-12-16,"glm"
"Maritime Port - Vessel - Cargo - CBP;container;swine products/by-products;commercial","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial",0.00032549109372615,6.32529165679945e-05,0.00179541920157937,0.75,22,"current",2025-12-16,"glm"
"Maritime Port - Vessel - Cargo - CBP;container;other products;animal-based feed","Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed",0.00010849703124205,2.10843055226648e-05,0.000598473067193125,0.25,22,"current",2025-12-16,"glm"
"Maritime Port - Vessel - Mail - CBP;package;swine products/by-products;personal use or consumption","Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",0.00278406852109489,0.00205017547665359,0.00403011414489904,0.973404255319149,6,"current",2025-12-16,"glm"
"Maritime Port - Vessel - Mail - CBP;package;other products;animal-based feed","Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed",7.60674459315544e-05,5.60157234058358e-05,0.000110112408330575,0.0265957446808511,6,"current",2025-12-16,"glm"
