"pathway","AIC","BIC","deviance","df.residual"
"Airport - Aircraft - Cargo - CBP",24.0000000000024,29.8188797974584,2.37676545111753e-12,0
"Airport - Aircraft - Passenger - Predeparture",16.0000000002335,16.6355323336722,2.33497665647004e-10,0
"Airport - Aircraft - Person - CBP",178.716221942226,218.367801011834,3.2806712901832e-10,0
"Airport - Aircraft - Person - Pre-Clearance",30.5621388531203,29.3126956684886,1.69313452147435e-11,0
"Cruise_ship",16.0000000000179,16.6355323334565,1.78630443770089e-11,0
"Express_courier",20.7138982721591,18.7610878343296,2.84087864343935e-10,0
"Land Border - Truck - Cargo - CBP NB",12.0000000000037,10.7505568153721,3.72724073827157e-12,0
"Land Border - Truck - Cargo - CBP SB",4.00000000055703,1.38629436167692,5.57199619777247e-10,0
"Land Border - Truck - Conveyance - CBP NB",146.466657095565,176.93855271727,4.26747526205417e-12,0
"Land Border - Truck - Conveyance - CBP SB",159.800273063155,175.826964705286,-1.53299595240246e-12,0
"Maritime Port - Vessel - Cargo - CBP",44.0000000000194,68.0029339739024,1.94271265740996e-11,0
"Maritime Port - Vessel - Mail - CBP",19.6659165462068,18.4164733615751,2.18429718756852e-11,0
"Pedestrian SB",88.8358425335675,96.1801841805675,2.71221267666588e-10,0
