"pathway","mean_probability","min_probability","max_probability","n_locations"
"Airport - Aircraft - Cargo - CBP",4.45832666972986e-14,2.71478667002975e-14,5.3579714792984e-14,12
"Airport - Aircraft - Passenger - Predeparture",1.56198007507209e-13,1.81405990238071e-15,1.06243754564214e-12,8
"Airport - Aircraft - Person - CBP",0.00749184622244649,5.82868497528426e-14,0.0310852067721341,29
"Airport - Aircraft - Person - Pre-Clearance",0.000392129259874921,1.65247147375335e-14,0.00173770826944701,6
"Cruise_ship",1.86390784793761e-14,5.03413787398083e-15,7.07431704860026e-14,8
"Express_courier",0.000555076840042829,4.89461255073022e-15,0.00253753436244449,5
"Land Border - Truck - Cargo - CBP NB",1.42341077658154e-14,8.97862009031787e-15,1.81097893183429e-14,6
"Land Border - Truck - Cargo - CBP SB",1.68333057976634e-13,1.05478593087635e-13,2.31187522865632e-13,2
"Land Border - Truck - Conveyance - CBP NB",4.55237930310877e-05,1.34257643029284e-15,0.00034205575508809,25
"Land Border - Truck - Conveyance - CBP SB",8.08901407034975e-15,1.15166688438498e-15,6.30885964151549e-14,18
"Maritime Port - Vessel - Cargo - CBP",0.00043887170470502,1.51942428376051e-14,0.00469483568075119,22
"Maritime Port - Vessel - Mail - CBP",0.00286493546940314,0.000220102714600147,0.0112531969309463,6
"Pedestrian SB",2.33853909582766e-13,3.24974274186193e-15,2.94906545834768e-12,13
