"pathway","container","product_pathway","product_subpathway","probability","ci_lower","ci_upper","product_proportion","n_locations","scenario","date_created","method","group"
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",0.00400298447510536,0.00316505575597716,0.00521308577011408,0.948936170212766,29,"mex_can",2025-09-22,"glm","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;personal use or consumption"
"Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",0.000204636874512113,0.000161801056583586,0.000266498555064128,0.0485106382978723,29,"mex_can",2025-09-22,"glm","Airport - Aircraft - Person - CBP;baggage;other products;animal-based feed"
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",1.07617649560742e-05,8.53678431244116e-06,1.39477109461623e-05,0.0025531914893617,29,"mex_can",2025-09-22,"glm","Airport - Aircraft - Person - CBP;baggage;swine products/by-products;smuggled commercial products"
"Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",0.00456817626488643,NA,NA,0.871794871794872,6,"mex_can",2025-09-22,"glm","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption"
"Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",0.000671790627189181,NA,NA,0.128205128205128,6,"mex_can",2025-09-22,"glm","Airport - Aircraft - Person - Pre-Clearance;baggage;other products;animal-based feed"
"Express_courier","package","swine products/by-products","personal use or consumption",0.000191055349260653,9.74309584051755e-05,0.000426497967774438,0.739130434782609,5,"mex_can",2025-09-22,"glm","Express_courier;package;swine products/by-products;personal use or consumption"
"Express_courier","package","other products","plasma",2.24770999130181e-05,1.14624656947265e-05,5.0176231502875e-05,0.0869565217391304,5,"mex_can",2025-09-22,"glm","Express_courier;package;other products;plasma"
"Express_courier","package","other products","unspecified feed",2.24770999130181e-05,1.14624656947265e-05,5.0176231502875e-05,0.0869565217391304,5,"mex_can",2025-09-22,"glm","Express_courier;package;other products;unspecified feed"
"Express_courier","package","fomite","personal effects",1.1238549956509e-05,5.73123284736327e-06,2.50881157514375e-05,0.0434782608695652,5,"mex_can",2025-09-22,"glm","Express_courier;package;fomite;personal effects"
"Express_courier","package","other products","smuggled commercial products",1.1238549956509e-05,5.73123284736327e-06,2.50881157514375e-05,0.0434782608695652,5,"mex_can",2025-09-22,"glm","Express_courier;package;other products;smuggled commercial products"
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",0.00398895710281643,0.00298221128686096,0.00574127138640552,0.669642857142857,25,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;personal use or consumption"
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed",0.0018681615764857,0.00139666895267988,0.00268882876596659,0.313616071428571,25,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP NB;baggage;other products;animal-based feed"
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","smuggled commercial products",5.98343565422465e-05,4.47331693029144e-05,8.61190707960828e-05,0.0100446428571429,25,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP NB;baggage;other products;smuggled commercial products"
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products",3.98895710281643e-05,2.98221128686096e-05,5.74127138640552e-05,0.00669642857142857,25,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP NB;baggage;swine products/by-products;smuggled commercial products"
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption",0.0168640635636991,0.0143655115795042,0.0198724782235971,0.911685777018785,18,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP SB;baggage;swine products/by-products;personal use or consumption"
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed",0.00129966558906752,0.00110710926810201,0.00153151558158843,0.0702610392778727,18,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP SB;baggage;other products;animal-based feed"
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products",0.000288814575348338,0.000246024281800446,0.00034033679590854,0.0156135642839717,18,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP SB;baggage;swine products/by-products;smuggled commercial products"
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products",4.06145496583601e-05,3.45971646281878e-05,4.78598619246385e-05,0.00219565747743352,18,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP SB;baggage;other products;smuggled commercial products"
"Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed",4.56124021140088e-06,3.90076919853814e-06,5.31776243607094e-06,0.000243961941937058,18,"mex_can",2025-09-22,"glm","Land Border - Truck - Conveyance - CBP SB;conveyance;fomite;plant based feed"
"Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",0.000906847920251826,0.000554164163895152,0.00150561032797854,0.8,6,"mex_can",2025-09-22,"glm","Maritime Port - Vessel - Mail - CBP;package;swine products/by-products;personal use or consumption"
"Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed",0.000226711980062956,0.000138541040973788,0.000376402581994636,0.2,6,"mex_can",2025-09-22,"glm","Maritime Port - Vessel - Mail - CBP;package;other products;animal-based feed"
"Pedestrian SB","baggage","swine products/by-products","personal use or consumption",0.00165131150316635,0.00127001324753422,0.00226809421503776,0.976950354609929,13,"mex_can",2025-09-22,"glm","Pedestrian SB;baggage;swine products/by-products;personal use or consumption"
"Pedestrian SB","baggage","other products","unspecified feed",2.69724201969096e-05,2.07443180178004e-05,3.70469109534299e-05,0.0159574468085106,13,"mex_can",2025-09-22,"glm","Pedestrian SB;baggage;other products;unspecified feed"
"Pedestrian SB","baggage","swine products/by-products","smuggled commercial products",1.19877423097376e-05,9.21969689680016e-06,1.64652937570799e-05,0.00709219858156028,13,"mex_can",2025-09-22,"glm","Pedestrian SB;baggage;swine products/by-products;smuggled commercial products"
