"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Aguada",-20.5660480297591,1.1702504737396e-09,0,1,0.998397113087473,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Aguadilla Predeparture",16.8851825294754,0.0245816674070907,0,1,0.998683993930876,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Carolina PIS",-2.04754549723658e-05,1.17022651257406e-09,0,1,0.999999999202044,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Carolina Predeparture",16.6935784092948,0.0203828170659244,0,1,0.998698927258347,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Carolina Predeparture - A",-2.04919115711502e-05,1.17022649331611e-09,0,1,0.999999998534375,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Carolina Predeparture - B",16.7374066332814,0.0212765957449191,0,1,0.998695511360963,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Hilo Predeparture",-2.04927040832824e-05,1.17022649238869e-09,0,1,0.999999998663682,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Honolulu Predeparture",-2.04919526192635e-05,1.17022649326807e-09,0,1,0.99999999840422,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Kahului Predeparture",-2.0491935445193e-05,1.17022649328817e-09,0,1,0.999999998403162,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Kailua-Kona Predeparture",-2.04918567577606e-05,1.17022649338025e-09,0,1,0.99999999840921,FALSE
"Airport - Aircraft - Passenger - Predeparture","Airport - Aircraft - Passenger - Predeparture;baggage;swine products/by-products;personal use or consumption","Kailua-Kona Predeparture - AQ",-2.05118318881768e-05,1.17022647000482e-09,0,1,0.999999999200627,FALSE
