"layer_name","short_name","pathway","container","product_pathway","product_subpathway","total_risk","cell_count","scenario"
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonCBP_bag_swi_per_2","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",1607884.95191998,29836,"current"
"Express_courier_package_swine_products_by_products_personal_use_or_consumption","Expresscourier_pac_swi_per_2","Express_courier","package","swine products/by-products","personal use or consumption",526573.682293777,29836,"current"
"Maritime_Port___Vessel___Cargo___CBP_container_swine_products_by_products_commercial","MaritimePortVesselCargoCBP_con_swi_com_2","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial",500465.54,29836,"current"
"Maritime_Port___Vessel___Cargo___CBP_container_other_products_animal_based_feed","MaritimePortVesselCargoCBP_con_oth_ani_1","Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed",162514.74,29836,"current"
"Maritime_Port___Vessel___Mail___CBP_package_swine_products_by_products_personal_use_or_consumption","MaritimePortVesselMailCBP_pac_swi_per_2","Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",128493.678427148,29836,"current"
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","AirportAircraftPersonCBP_bag_swi_smu_3","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",97047.5983873753,29836,"current"
"Express_courier_package_swine_products_by_products_smuggled_commercial_products","Expresscourier_pac_swi_smu_3","Express_courier","package","swine products/by-products","smuggled commercial products",73847.58,29836,"current"
"Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","AirportAircraftPersonCBP_bag_oth_ani_1","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",33008.3873653378,29836,"current"
"Express_courier_package_other_products_unspecified_feed","Expresscourier_pac_oth_uns_1","Express_courier","package","other products","unspecified feed",10922.305,29836,"current"
"Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonPreClearan_bag_swi_per_2","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",5454.58456416117,29836,"current"
"Maritime_Port___Vessel___Mail___CBP_package_other_products_animal_based_feed","MaritimePortVesselMailCBP_pac_oth_ani_1","Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed",2381.68475935849,29836,"current"
"Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","LandBorderTruckConveyanceCBPNB_bag_swi_per_1","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",327.173356988878,29836,"current"
"Airport___Aircraft___Person___Pre_Clearance_baggage_other_products_animal_based_feed","AirportAircraftPersonPreClearan_bag_oth_ani_1","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",252.494,29836,"current"
