"layer_name","short_name","pathway","container","product_pathway","product_subpathway","total_risk","cell_count"
"Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_personal_use_or_consumption","LandBorderTruckConveyanceCB_bag_swi_per_3","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption",2645944.83678047,3573
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonCBP_bag_swi_per_2","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",800640.654329173,3573
"Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_smuggled_commercial_products","LandBorderTruckConveyanceCB_bag_swi_smu_4","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products",644894.94688723,3573
"Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_animal_based_feed","LandBorderTruckConveyanceCB_bag_oth_ani_1","Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed",282570.482825378,3573
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","AirportAircraftPersonCBP_bag_swi_smu_3","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",238311.9,3573
"Express_courier_package_swine_products_by_products_personal_use_or_consumption","Expresscourier_pac_swi_per_5","Express_courier","package","swine products/by-products","personal use or consumption",210685.026257105,3573
"Pedestrian_SB_baggage_swine_products_by_products_personal_use_or_consumption","PedestrianSB_bag_swi_per_2","Pedestrian SB","baggage","swine products/by-products","personal use or consumption",178039.192375193,3573
"Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_smuggled_commercial_products","LandBorderTruckConveyanceCB_bag_oth_smu_2","Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products",113895.208793249,3573
"Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","LandBorderTruckConveyanceCB_bag_swi_per_3","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",81661.4304345631,3573
"Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","AirportAircraftPersonCBP_bag_oth_ani_1","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",81440.5728089371,3573
"Express_courier_package_other_products_smuggled_commercial_products","Expresscourier_pac_oth_smu_3","Express_courier","package","other products","smuggled commercial products",80176.42,3573
"Land_Border___Truck___Conveyance___CBP_NB_baggage_other_products_animal_based_feed","LandBorderTruckConveyanceCB_bag_oth_ani_1","Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed",61631.4371008352,3573
"Land_Border___Truck___Conveyance___CBP_NB_baggage_other_products_smuggled_commercial_products","LandBorderTruckConveyanceCB_bag_oth_smu_2","Land Border - Truck - Conveyance - CBP NB","baggage","other products","smuggled commercial products",60528.994222509,3573
"Pedestrian_SB_baggage_swine_products_by_products_smuggled_commercial_products","PedestrianSB_bag_swi_smu_3","Pedestrian SB","baggage","swine products/by-products","smuggled commercial products",59908.641,3573
"Express_courier_package_other_products_unspecified_feed","Expresscourier_pac_oth_uns_4","Express_courier","package","other products","unspecified feed",47870.992,3573
"Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_smuggled_commercial_products","LandBorderTruckConveyanceCB_bag_swi_smu_4","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products",46278.5463294085,3573
"Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonPreCle_bag_swi_per_2","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",37760.8947343922,3573
"Express_courier_package_other_products_plasma","Expresscourier_pac_oth_pla_2","Express_courier","package","other products","plasma",32141.6,3573
"Airport___Aircraft___Person___Pre_Clearance_baggage_other_products_animal_based_feed","AirportAircraftPersonPreCle_bag_oth_ani_1","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",3323.23658961542,3573
"Pedestrian_SB_baggage_other_products_unspecified_feed","PedestrianSB_bag_oth_uns_1","Pedestrian SB","baggage","other products","unspecified feed",2569.46637163031,3573
"Express_courier_package_fomite_personal_effects","Expresscourier_pac_fom_per_1","Express_courier","package","fomite","personal effects",1836.748,3573
"Land_Border___Truck___Conveyance___CBP_SB_conveyance_fomite_plant_based_feed","LandBorderTruckConveyanceCB_con_fom_pla_5","Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed",207.49,3573
