"X","CITY_DEST_NAME","STATE_DEST_CD","corrected_city","lat","lon"
951,"CAMP PENELTON","CA","Camp Pendleton North",33.31465,-117.31603
952,"SAMITE","SC","Sumter",33.92044,-80.34147
953,"PHAR","TX","Pharr",26.1948,-98.18362
954,"NEW YORK","NJ","Newark",40.73566,-74.17237
955,"HIDALGO","TN",NA,NA,NA
956,"LOS ANGLES","CA","Los Angeles",34.05223,-118.24368
957,"TECATE","LA",NA,NA,NA
958,"GILLET","WI","Gillett",44.88999,-88.30732
959,"ICHICAGO","IL","Chicago",41.85003,-87.65005
960,"TACNC","AZ","Naco",31.33538,-109.94813
961,"MCGEHEE","KS",NA,NA,NA
962,"WORTHY","NM",NA,NA,NA
963,"FALURRIAS","TX","Falfurrias",27.22699,-98.14417
964,"SAINAS","CA","Salinas",36.67774,-121.6555
965,"WASICA","TX","Itasca",32.15959,-97.15001
966,"NEW BRAUAFUELS","TX","New Braunfels",29.703,-98.12445
967,"BINISE","CA","Biggs",39.41239,-121.71275
968,"VIRGINA","VA","Verona",38.20208,-79.00836
969,"WITTIER","CA","Whittier",33.97918,-118.03284
970,"PHARR","TN","Paris",36.302,-88.32671
971,"UKIHA","CA","Ukiah",39.15017,-123.20778
972,"LO BANOS","CA","Los Banos",37.05828,-120.84992
973,"ALB","NM","Alamo",34.42089,-107.51088
974,"KINGSBOUGH","CA","Kingsburg",36.51384,-119.55402
975,"TEMPO","TX","Kemp",32.44264,-96.22998
976,"STORM LAKE","ID",NA,NA,NA
977,"COTULA","TX","Cotulla",28.43693,-99.23503
978,"BERLEY","TX","Bells",33.61038,-96.41082
979,"LITTLEROCK","AR","Little Rock",34.74648,-92.28959
980,"DENNISON","IA","Denison",42.01777,-95.35528
981,"BOLTON","LA","Benton",32.69487,-93.74185
982,"CARMAL","CA","Campo",32.60645,-116.46891
983,"GUIMON","OK","Guymon",36.6828,-101.48155
984,"SYLMORE","CA","Sylmar",34.30778,-118.44925
985,"UTAH","MN","Ada",47.29969,-96.51535
986,"PLENO","TX","Plano",33.01984,-96.69889
987,"MISION VIEJO","CA","Mission Viejo",33.60002,-117.672
988,"RIVERSIDE","TN",NA,NA,NA
989,"PENASQUITOS","CA",NA,NA,NA
990,"HEMMET","CA","Hemet",33.74761,-116.97307
991,"MONTE ROJO","CO",NA,NA,NA
992,"CLEBORNE","TX","Cleburne",32.34764,-97.38668
993,"CHARLES","LA","Carlyss",30.16882,-93.37599
994,"LINA","TX","Edna",28.97859,-96.64609
995,"ATA SEMA","AL",NA,NA,NA
996,"GREEN VALLEY","DE",NA,NA,NA
997,"MENAR","TX","Menard",30.91767,-99.78646
998,"ANHIEN","CA","Alpine",32.83505,-116.76641
999,"CHACAGO","IL","Chicago",41.85003,-87.65005
1000,"CLAIRMONT MESA","CA",NA,NA,NA
