"PATHWAY","container","product_pathway","product_subpathway","distribution","mean","median","sd","min","max","n_samples","goodness_of_fit","p_value"
"Pedestrian SB","baggage","swine products/by-products","personal use or consumption","lnorm",2.08,1.37,2.38,0,19.81,551,"Poor fit",0
"Pedestrian SB","baggage","other products","unspecified feed","gamma",1.83,1.18,2,0.01,6,9,"Good fit",0.7379
"Pedestrian SB","baggage","swine products/by-products","smuggled commercial products","empirical",96.4,48,102.47,39.62,250,4,"N/A (empirical)",NA
"Express_courier","package","other products","plasma","empirical",3.5,3.5,3.54,1,6,2,"N/A (empirical)",NA
"Express_courier","package","swine products/by-products","personal use or consumption","gamma",2.7,2.09,2.28,0.1,11,17,"Good fit",0.9626
"Express_courier","package","other products","unspecified feed","empirical",5.2,5.2,0.28,5,5.4,2,"N/A (empirical)",NA
"Express_courier","package","fomite","personal effects","empirical",0.4,0.4,NA,0.4,0.4,1,"N/A (empirical)",NA
"Express_courier","package","other products","smuggled commercial products","empirical",34.5,34.5,NA,34.5,34.5,1,"N/A (empirical)",NA
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption","lnorm",2.25,1.18,3.62,0.01,18,3773,"Poor fit",0
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption","lnorm",1.23,0.65,1.97,0.02,15,609,"Poor fit",0
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed","lnorm",2.99,1.58,4.8,0.05,19.5,288,"Poor fit",1e-04
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption","weibull",1.08,0.61,1.34,0,16.8,1128,"Poor fit",0
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed","lnorm",2,0.9,3.93,0.05,18,281,"Poor fit",0.0094
"Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption","lnorm",0.41,0.23,0.61,0.01,4,277,"Poor fit",0.0027
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products","lnorm",32.25,28.94,15.87,20,132,66,"Poor fit",0.0029
"Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption","lnorm",1.85,1.53,1.26,0.46,5,16,"Good fit",0.7567
"Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed","lnorm",0.25,0.17,0.26,0.01,3,40,"Good fit",0.068
"Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed","gamma",1.81,1.43,1.48,0.1,10,57,"Good fit",0.1801
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products","lnorm",40.71,37.43,17.43,22,90,9,"Good fit",0.9983
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","smuggled commercial products","lnorm",55.19,42.59,45.5,20,200,9,"Good fit",0.7202
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products","lnorm",66.83,51.06,56.44,20,189,7,"Good fit",0.9855
"Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed","empirical",2.1,2,0.82,1.4,3,4,"N/A (empirical)",NA
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products","empirical",91.67,50,99.29,20,205,3,"N/A (empirical)",NA
"Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed","empirical",0.5,0.5,NA,0.5,0.5,1,"N/A (empirical)",NA
