"","Operational","State","Type","Latitude","Longitude","SimpleType"
"1","YES","Massachusetts","Incinerator",42.448592,-70.981389,"Incinerator"
"2","YES","Massachusetts","Incinerator",42.091378,-72.590753,"Incinerator"
"3","YES","Massachusetts","Sterilizer",42.461702,-71.290871,"Sterilizer"
"4","YES","Massachusetts","Incinerator",42.725405,-71.123177,"Incinerator"
"5","YES","New Jersey","Incinerator",40.602845,-74.265691,"Incinerator"
"6","YES","New Jersey","Incinerator",40.071086,-74.865694,"Incinerator"
"7","YES","New Mexico","Sterilizer",35.035648,-106.616003,"Sterilizer"
"8","YES","New Mexico","Incinerator",31.91635,-108.32299,"Incinerator"
"9","YES","New Mexico","Incinerator",31.785402,-107.628394,"Incinerator"
"10","Yes","New Mexico","Sterilizer",35.104256,-106.644152,"Sterilizer"
"11","YES","New York","Incinerator",40.738167,-73.590596,"Incinerator"
"12","YES","New York","Incinerator",40.786281,-73.105643,"Incinerator"
"13","YES","New York","Incinerator",41.291712,-73.911325,"Incinerator"
"14","YES","New York","Incinerator",43.08134,-79.00011,"Incinerator"
"15","YES","New York","Incinerator",41.081551,-73.868977,"Incinerator"
"16","YES","North Carolina","Autoclave (2) - Sterilizer",35.421285,-80.651309,"Sterilizer"
"17","YES","North Carolina","Autoclave (1) - Sterilizer",35.211433,-80.938639,"Sterilizer"
"18","YES","North Carolina","Incinerator",36.065796,-79.349674,"Incinerator"
"19","Sterilizer curretly non-operational.  RG diverted to Haw River faciltiy.","North Carolina","Autoclave (1) -Sterilizer",35.82305,-78.83015,"Sterilizer"
"20","YES","North Dakota","Incinerator",48.26369,-101.295559,"Incinerator"
"21","YES","North Dakota","Sterilizer",46.912762,-98.00733,"Sterilizer"
"22","YES","Ohio","incinerator",41.220793,-80.805727,"Incinerator"
"23","YES","Ohio","Sterilizer",41.722877,-83.517486,"Sterilizer"
"24","YES","Ohio","Incinerator",39.96118,-82.99879,"Incinerator"
"25","YES","Ohio","Incinerator",39.997606,-82.884783,"Incinerator"
"26","YES","Ohio","Incinerator",39.817366,-82.936065,"Incinerator"
"27","YES","Ohio","Incinerator",39.103954,-84.429642,"Incinerator"
"28","YES","Ohio","Incinerator",41.41083,-81.84944,"Incinerator"
"29","YES","Oklahoma","Incinerator",36.131959,-96.016067,"Incinerator"
"30","YES","Oklahoma","Sterilizer",35.748007,-96.644903,"Sterilizer"
"31","YES","Oregon","Incinerator",45.049502,-122.96264,"Incinerator"
"32","YES","Oregon","Steam Sterilizer",45.58832,-122.58839,"Sterilizer"
"33","YES","Pennsylvania","Sterilizer",39.884705,-75.229113,"Sterilizer"
"34","YES","Pennsylvania","Incinerator",39.82037,-75.41591,"Incinerator"
"35","YES","Pennsylvania","Incinerator",39.827347,-75.38726,"Incinerator"
"36","YES","Pennsylvania","Sterilizer",40.49608,-80.25547,"Sterilizer"
"37","YES","Pennsylvania","Incinerator",40.162045,-74.769741,"Incinerator"
"38","NO LONGER HANDLES RG - RGCA relinquished","Pennsylvania","Incinerator",40.071894,-76.643963,"Incinerator"
"39","YES","Puerto Rico","Sterilizer",18.033645,-66.844999,"Sterilizer"
"40","YES","Puerto Rico","Incinerator",18.499853,-67.130325,"Incinerator"
