"edge_origin","product_origin","n"
"MEX","MEX",4912
"CAN","CAN",1172
"MEX",NA,973
"USA","USA",796
"ESP","ESP",472
"BHS","BHS",433
"PRI","PRI",330
"ITA","ITA",324
"DEU","DEU",313
"COL","COL",300
"JPN","JPN",263
"PHL","PHL",257
NA,NA,251
"KOR","KOR",232
"DOM","DOM",209
"FRA","FRA",209
"USA",NA,209
"SLV","SLV",201
"CHN","CHN",196
"JAM","JAM",183
"ECU","ECU",156
"BRA","BRA",139
"NGA","NGA",130
"VNM","VNM",128
"HND","HND",109
"GTM","GTM",99
"PER","PER",95
"POL","POL",82
"NLD","NLD",80
"PRT","PRT",79
"ZAF","ZAF",77
"CHE","CHE",76
"ARG","ARG",72
"THA","THA",64
"CUB","CUB",60
"IND","IND",57
"AUT","AUT",50
"EGY","EGY",47
"CAN",NA,46
"IDN","IDN",46
"PAN","PAN",45
"CRI","CRI",44
"USA","ITA",44
"ESP",NA,43
"GUY","GUY",41
"SGP","SGP",41
"ABW","ABW",39
"ISL","ISL",35
"ISR","ISR",35
"TWN","TWN",35
"CHL","CHL",34
"COL",NA,34
"GHA","GHA",34
"HKG","HKG",34
"NOR","NOR",34
"ROU","ROU",32
"TUR","TUR",32
"MAR","MAR",31
"BGD","BGD",30
"ITA",NA,29
"FRA",NA,25
"GRC","GRC",25
"HUN","HUN",25
"CZE","CZE",24
"DEU",NA,24
"DNK","DNK",24
"KOR",NA,22
"JPN",NA,21
"BEL","BEL",20
"TTO","TTO",20
"VNM",NA,20
"CMR","CMR",19
"HRV","HRV",19
"NIC","NIC",19
"AUS","AUS",18
"BGR","BGR",18
"PAK","PAK",18
"ECU",NA,17
"PRT",NA,17
"BHS",NA,16
"CAN","USA",16
"CYM","CYM",16
"HTI","HTI",16
"SWE","SWE",16
"USA","MEX",16
"CHN",NA,15
"HND",NA,15
"JAM",NA,15
"SLV",NA,15
"UKR","UKR",15
"UZB","UZB",15
"DOM",NA,14
"KEN","KEN",14
"LAO","LAO",14
"PHL",NA,14
"SRB","SRB",14
"ARE","ARE",13
"BLZ","BLZ",13
"CHE",NA,13
"ETH","ETH",13
"NGA",NA,13
"PER",NA,13
"ALB","ALB",12
"KAZ","KAZ",12
"NPL","NPL",12
"BMU","BMU",11
"BOL","BOL",11
"KHM","KHM",11
"MNG","MNG",11
"USA","ESP",11
"BRA",NA,10
"BRB","BRB",10
"FIN","FIN",10
"NLD",NA,10
"ABW",NA,9
"CPV","CPV",9
"SXM","SXM",9
"VEN","VEN",9
"ZAF",NA,9
"ATG","ATG",8
"GRC",NA,8
"GRD","GRD",8
"IRN","IRN",8
"LTU","LTU",8
"POL",NA,8
"RUS","RUS",8
"TCA","TCA",8
"ARM","ARM",7
"GEO","GEO",7
"GTM",NA,7
"ISL",NA,7
"NZL","NZL",7
"THA",NA,7
"USA","CAN",7
"USA","PRI",7
"CAN","ITA",6
"CIV","CIV",6
"EST","EST",6
"GHA",NA,6
"IND",NA,6
"MDA","MDA",6
"BEL",NA,5
"IRL","IRL",5
"JOR","JOR",5
"LBN","LBN",5
"MYS","MYS",5
"SVK","SVK",5
