PoE,Conveyance type pathway,Container,Product pathway,Product subpathway,layer_name,scenario,point_count,total_risk
Air,Cargo,Container,fomite,plant-based feed,AirportAircraftCargoCBP_con_fom_pla,Intercepted,5,11
Air,Cargo,Container,other swine product,animal-based feed,AirportAircraftCargoCBP_con_oth_ani,Intercepted,26,5791
Air,Cargo,Container,swine product and byproduct,commercial imports,AirportAircraftCargoCBP_con_swi_com,Intercepted,48,46908
Air,Eco,Package,fomite,plant-based feed,AirportAircraftExpressCar_pac_fom_pla,Intercepted,1,16
Air,Eco,Package,fomite,smuggled commercial product,AirportAircraftExpressCar_pac_fom_smu,Intercepted,1,50
Air,Eco,Package,other swine product,animal-based feed,AirportAircraftExpressCar_pac_oth_ani,Intercepted,14,1084
Air,Eco,Package,other swine product,smuggled commercial product,AirportAircraftExpressCar_pac_oth_smu,Intercepted,4,7601
Air,Eco,Package,swine product and byproduct,personal use,AirportAircraftExpressCar_pac_swi_per,Intercepted,25,35152
Air,Eco,Package,swine product and byproduct,smuggled commercial product,AirportAircraftExpressCar_pac_swi_smu,Intercepted,13,30353
Land border,Cargo,Container,swine product and byproduct,commercial imports,LandBorderRailCargoCBP_con_swi_com,Intercepted,4,16916
Land border,Cargo,Container,other swine product,animal-based feed,LandBorderTruckCargoCBP_con_oth_ani,Intercepted,7,85681
Land border,Cargo,Container,swine product and byproduct,commercial imports,LandBorderTruckCargoCBP_con_swi_com,Intercepted,8,41417
Land border,Passenger,Baggage,swine product and byproduct,personal use,LandBorderTruckConveyance_bag_swi_per,Intercepted,1,1
Maritime,Cargo,Container,other swine product,animal-based feed,MaritimePortVesselCargoCB_con_oth_ani,Intercepted,7,15110635
Maritime,Cargo,Container,swine product and byproduct,commercial imports,MaritimePortVesselCargoCB_con_swi_com,Intercepted,15,524249
Maritime,Cargo,Container,swine product and byproduct,commercial imports,MaritimePortVesselCargoPI_con_swi_com,Intercepted,1,2
Maritime,Passenger,Baggage,swine product and byproduct,smuggled commercial product,MaritimePortVesselConveya_bag_swi_smu,Intercepted,1,253
NonPort,Cargo,Unspecified,other swine product,animal-based feed,NonPortNonTransportCommer_con_oth_ani,Intercepted,3,280
NonPort,Cargo,Unspecified,swine product and byproduct,commercial imports,NonPortNonTransportCommer_con_swi_com,Intercepted,43,30751
NonPort,Eco,Package,other swine product,animal-based feed,NonPortNonTransportExpres_pac_oth_ani,Intercepted,1,52
NonPort,Eco,Package,swine product and byproduct,personal use,NonPortNonTransportExpres_pac_swi_per,Intercepted,8,868
NonPort,Eco,Package,swine product and byproduct,smuggled commercial product,NonPortNonTransportExpres_pac_swi_smu,Intercepted,4,455
Air,Passenger,Baggage,other swine product,animal-based feed,AirportAircraftPersonCBP_bag_oth_ani,Mex/Can,176,81441
Air,Passenger,Baggage,swine product and byproduct,personal use,AirportAircraftPersonCBP_bag_swi_per,Mex/Can,176,800641
Air,Passenger,Baggage,swine product and byproduct,smuggled commercial product,AirportAircraftPersonCBP_bag_swi_smu,Mex/Can,176,238312
Air,Passenger,Baggage,other swine product,animal-based feed,AirportAircraftPersonPreC_bag_oth_ani,Mex/Can,9,3323
Air,Passenger,Baggage,swine product and byproduct,personal use,AirportAircraftPersonPreC_bag_swi_per,Mex/Can,9,37761
Air,Eco,Package,fomite,personal effects,Expresscourier_pac_fom_per,Mex/Can,29,1837
Air,Eco,Package,other swine product,plasma,Expresscourier_pac_oth_pla,Mex/Can,29,32142
Air,Eco,Package,swine product and byproduct,smuggled commercial product,Expresscourier_pac_oth_smu,Mex/Can,29,80176
Air,Eco,Package,other swine product,unspecified,Expresscourier_pac_oth_uns,Mex/Can,29,47871
Air,Eco,Package,swine product and byproduct,personal use,Expresscourier_pac_swi_per,Mex/Can,29,210685
Land border,Passenger,Baggage,other swine product,animal-based feed,LandBorderTruckConveyance_bag_oth_ani,Mex/Can,32,282570
Land border,Passenger,Baggage,other swine product,animal-based feed,LandBorderTruckConveyance_bag_oth_ani,Mex/Can,42,61631
Land border,Passenger,Baggage,other swine product,smuggled commercial product,LandBorderTruckConveyance_bag_oth_smu,Mex/Can,32,113895
Land border,Passenger,Baggage,other swine product,smuggled commercial product,LandBorderTruckConveyance_bag_oth_smu,Mex/Can,42,60529
Land border,Passenger,Baggage,swine product and byproduct,personal use,LandBorderTruckConveyance_bag_swi_per,Mex/Can,32,2645945
Land border,Passenger,Baggage,swine product and byproduct,personal use,LandBorderTruckConveyance_bag_swi_per,Mex/Can,42,81661
Land border,Passenger,Baggage,swine product and byproduct,smuggled commercial product,LandBorderTruckConveyance_bag_swi_smu,Mex/Can,32,644895
Land border,Passenger,Baggage,swine product and byproduct,smuggled commercial product,LandBorderTruckConveyance_bag_swi_smu,Mex/Can,42,46279
Land border,Passenger,Vehicle,fomite,plant-based feed,LandBorderTruckConveyance_con_fom_pla,Mex/Can,32,207
Maritime,Mail,Package,other swine product,animal-based feed,MaritimePortVesselMailCBP_pac_oth_ani,Mex/Can,8,1370.554
Maritime,Mail,Package,swine product and byproduct,personal use,MaritimePortVesselMailCBP_pac_swi_per,Mex/Can,8,4815.059912
Land border,Passenger,Baggage,other swine product,unspecified,PedestrianSB_bag_oth_uns,Mex/Can,29,2569
Land border,Passenger,Baggage,swine product and byproduct,personal use,PedestrianSB_bag_swi_per,Mex/Can,29,178039
Land border,Passenger,Baggage,swine product and byproduct,smuggled commercial product,PedestrianSB_bag_swi_smu,Mex/Can,29,59909
Air,Passenger,Baggage,other swine product,animal-based feed,AirportAircraftPersonCBP_bag_oth_ani,Predicted,176,33409
Air,Passenger,Baggage,swine product and byproduct,personal use,AirportAircraftPersonCBP_bag_swi_per,Predicted,176,1614213
Air,Passenger,Baggage,swine product and byproduct,smuggled commercial product,AirportAircraftPersonCBP_bag_swi_smu,Predicted,176,98281
Air,Passenger,Baggage,other swine product,animal-based feed,AirportAircraftPersonPreC_bag_oth_ani,Predicted,9,253
Air,Passenger,Baggage,swine product and byproduct,personal use,AirportAircraftPersonPreC_bag_swi_per,Predicted,9,5476
Air,Eco,Package,other swine product,unspecified,Expresscourier_pac_oth_uns,Predicted,29,10940
Air,Eco,Package,swine product and byproduct,personal use,Expresscourier_pac_swi_per,Predicted,29,526600
Air,Eco,Package,swine product and byproduct,smuggled commercial product,Expresscourier_pac_swi_smu,Predicted,29,73824
Land border,Passenger,Baggage,swine product and byproduct,personal use,LandBorderTruckConveyance_bag_swi_per,Predicted,42,280
Maritime,Cargo,Container,other swine product,animal-based feed,MaritimePortVesselCargoCB_con_oth_ani,Predicted,53,165948
Maritime,Cargo,Container,swine product and byproduct,commercial imports,MaritimePortVesselCargoCB_con_swi_com,Predicted,53,511542
Maritime,Mail,Package,other swine product,animal-based feed,MaritimePortVesselMailCBP_pac_oth_ani,Predicted,8,2365.073267
Maritime,Mail,Package,swine product and byproduct,personal use,MaritimePortVesselMailCBP_pac_swi_per,Predicted,8,128853
