"","Container","PoE","Conveyance.type.pathway","Product.pathway","Product.subpathway","na.rm","Intercepted","Mex/Can","Predicted","Expected"
"1","Baggage","Land border","Passenger","swine product and byproduct","personal use",TRUE,1,2905645,280,279
"2","Baggage","Maritime","Passenger","swine product and byproduct","smuggled commercial product",TRUE,253,NA,NA,253
"3","Container","Air","Cargo","fomite","plant-based feed",TRUE,11,NA,NA,11
"4","Container","Air","Cargo","other swine product","animal-based feed",TRUE,5791,NA,NA,5791
"5","Container","Air","Cargo","swine product and byproduct","commercial imports",TRUE,46908,NA,NA,46908
"6","Container","Land border","Cargo","other swine product","animal-based feed",TRUE,85681,NA,NA,85681
"7","Container","Land border","Cargo","swine product and byproduct","commercial imports",TRUE,58333,NA,NA,58333
"8","Container","Maritime","Cargo","other swine product","animal-based feed",TRUE,15110635,NA,165948,0
"9","Container","Maritime","Cargo","swine product and byproduct","commercial imports",TRUE,524251,NA,511542,0
"10","Package","Air","Eco","fomite","plant-based feed",TRUE,16,NA,NA,16
"11","Package","Air","Eco","fomite","smuggled commercial product",TRUE,50,NA,NA,50
"12","Package","Air","Eco","other swine product","animal-based feed",TRUE,1084,NA,NA,1084
"13","Package","Air","Eco","other swine product","smuggled commercial product",TRUE,7601,NA,NA,7601
"14","Package","Air","Eco","swine product and byproduct","personal use",TRUE,35152,210685,526600,491448
"15","Package","Air","Eco","swine product and byproduct","smuggled commercial product",TRUE,30353,80176,73824,43471
"16","Package","NonPort","Eco","other swine product","animal-based feed",TRUE,52,NA,NA,52
"17","Package","NonPort","Eco","swine product and byproduct","personal use",TRUE,868,NA,NA,868
"18","Package","NonPort","Eco","swine product and byproduct","smuggled commercial product",TRUE,455,NA,NA,455
"19","Unspecified","NonPort","Cargo","other swine product","animal-based feed",TRUE,280,NA,NA,280
"20","Unspecified","NonPort","Cargo","swine product and byproduct","commercial imports",TRUE,30751,NA,NA,30751
"21","Baggage","Air","Passenger","other swine product","animal-based feed",TRUE,NA,84764,33662,33662
"22","Baggage","Air","Passenger","swine product and byproduct","personal use",TRUE,NA,838402,1619689,1619689
"23","Baggage","Air","Passenger","swine product and byproduct","smuggled commercial product",TRUE,NA,238312,98281,98281
"24","Baggage","Land border","Passenger","other swine product","animal-based feed",TRUE,NA,344201,NA,0
"25","Baggage","Land border","Passenger","other swine product","smuggled commercial product",TRUE,NA,174424,NA,0
"26","Baggage","Land border","Passenger","other swine product","unspecified",TRUE,NA,2569,NA,0
"27","Baggage","Land border","Passenger","swine product and byproduct","smuggled commercial product",TRUE,NA,751083,NA,0
"28","Package","Air","Eco","fomite","personal effects",TRUE,NA,1837,NA,0
"29","Package","Air","Eco","other swine product","plasma",TRUE,NA,32142,NA,0
"30","Package","Air","Eco","other swine product","unspecified",TRUE,NA,47871,10940,10940
"31","Package","Maritime","Mail","other swine product","animal-based feed",TRUE,NA,1370.554,2365.073267,2365.073267
"32","Package","Maritime","Mail","swine product and byproduct","personal use",TRUE,NA,4815.059912,128853,128853
"33","Vehicle","Land border","Passenger","fomite","plant-based feed",TRUE,NA,207,NA,0
