"","PoE","Conveyance.type.pathway","Product.pathway","Product.subpathway","na.rm","Intercepted","Mex/Can","Predicted"
"1","Air","Cargo","fomite","plant-based feed",TRUE,11,NA,NA
"2","Air","Cargo","other swine product","animal-based feed",TRUE,5791,NA,NA
"3","Air","Cargo","swine product and byproduct","commercial imports",TRUE,46908,NA,NA
"4","Air","Eco","fomite","plant-based feed",TRUE,16,NA,NA
"5","Air","Eco","fomite","smuggled commercial product",TRUE,50,NA,NA
"6","Air","Eco","other swine product","animal-based feed",TRUE,1084,NA,NA
"7","Air","Eco","other swine product","smuggled commercial product",TRUE,7601,NA,NA
"8","Air","Eco","swine product and byproduct","personal use",TRUE,35152,210685,526600
"9","Air","Eco","swine product and byproduct","smuggled commercial product",TRUE,30353,80176,73824
"10","Land border","Cargo","other swine product","animal-based feed",TRUE,85681,NA,NA
"11","Land border","Cargo","swine product and byproduct","commercial imports",TRUE,58333,NA,NA
"12","Land border","Passenger","swine product and byproduct","personal use",TRUE,1,2905645,280
"13","Maritime","Cargo","other swine product","animal-based feed",TRUE,15110635,NA,165948
"14","Maritime","Cargo","swine product and byproduct","commercial imports",TRUE,524251,NA,511542
"15","Maritime","Passenger","swine product and byproduct","smuggled commercial product",TRUE,253,NA,NA
"16","NonPort","Cargo","other swine product","animal-based feed",TRUE,280,NA,NA
"17","NonPort","Cargo","swine product and byproduct","commercial imports",TRUE,30751,NA,NA
"18","NonPort","Eco","other swine product","animal-based feed",TRUE,52,NA,NA
"19","NonPort","Eco","swine product and byproduct","personal use",TRUE,868,NA,NA
"20","NonPort","Eco","swine product and byproduct","smuggled commercial product",TRUE,455,NA,NA
"21","Air","Eco","fomite","personal effects",TRUE,NA,1837,NA
"22","Air","Eco","other swine product","plasma",TRUE,NA,32142,NA
"23","Air","Eco","other swine product","unspecified",TRUE,NA,47871,10940
"24","Air","Passenger","other swine product","animal-based feed",TRUE,NA,84764,33662
"25","Air","Passenger","swine product and byproduct","personal use",TRUE,NA,838402,1619689
"26","Air","Passenger","swine product and byproduct","smuggled commercial product",TRUE,NA,238312,98281
"27","Land border","Passenger","fomite","plant-based feed",TRUE,NA,207,NA
"28","Land border","Passenger","other swine product","animal-based feed",TRUE,NA,344201,NA
"29","Land border","Passenger","other swine product","smuggled commercial product",TRUE,NA,174424,NA
"30","Land border","Passenger","other swine product","unspecified",TRUE,NA,2569,NA
"31","Land border","Passenger","swine product and byproduct","smuggled commercial product",TRUE,NA,751083,NA
"32","Maritime","Mail","other swine product","animal-based feed",TRUE,NA,1370.554,2365.073267
"33","Maritime","Mail","swine product and byproduct","personal use",TRUE,NA,4815.059912,128853
