"","Conveyance.type.pathway","Product.pathway","Product.subpathway","na.rm","Intercepted","Mex/Can","Predicted"
"1","Cargo","fomite","plant-based feed",TRUE,11,NA,NA
"2","Cargo","other swine product","animal-based feed",TRUE,15202387,NA,165948
"3","Cargo","swine product and byproduct","commercial imports",TRUE,660243,NA,511542
"4","Eco","fomite","plant-based feed",TRUE,16,NA,NA
"5","Eco","fomite","smuggled commercial product",TRUE,50,NA,NA
"6","Eco","other swine product","animal-based feed",TRUE,1136,NA,NA
"7","Eco","other swine product","smuggled commercial product",TRUE,7601,NA,NA
"8","Eco","swine product and byproduct","personal use",TRUE,36020,210685,526600
"9","Eco","swine product and byproduct","smuggled commercial product",TRUE,30808,80176,73824
"10","Passenger","swine product and byproduct","personal use",TRUE,1,3744047,1619969
"11","Passenger","swine product and byproduct","smuggled commercial product",TRUE,253,989395,98281
"12","Eco","fomite","personal effects",TRUE,NA,1837,NA
"13","Eco","other swine product","plasma",TRUE,NA,32142,NA
"14","Eco","other swine product","unspecified",TRUE,NA,47871,10940
"15","Mail","other swine product","animal-based feed",TRUE,NA,1370.554,2365.073267
"16","Mail","swine product and byproduct","personal use",TRUE,NA,4815.059912,128853
"17","Passenger","fomite","plant-based feed",TRUE,NA,207,NA
"18","Passenger","other swine product","animal-based feed",TRUE,NA,428965,33662
"19","Passenger","other swine product","smuggled commercial product",TRUE,NA,174424,NA
"20","Passenger","other swine product","unspecified",TRUE,NA,2569,NA
