"short_name","full_name","pathway","container","product_pathway","product_subpathway"
"Air_NA_NA_smu_1","Airport___Aircraft___Person___CBP_NA_NA_smuggled_commercial_products","Airport - Aircraft - Person - CBP","NA","NA","smuggled commercial products"
"Air_bag_swi_per_2","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption"
"Air_bag_swi_smu_3","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products"
"Air_NA_NA_smu_1","Airport___Aircraft___Person___Pre_Clearance_NA_NA_smuggled_commercial_products","Airport - Aircraft - Person - Pre-Clearance","NA","NA","smuggled commercial products"
"Air_bag_swi_per_2","Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption"
"Cru_NA_NA_smu_1","Cruise_ship_NA_NA_smuggled_commercial_products","Cruise_ship","NA","NA","smuggled commercial products"
"Cru_bag_swi_per_2","Cruise_ship_baggage_swine_products_by_products_personal_use_or_consumption","Cruise_ship","baggage","swine products/by-products","personal use or consumption"
"Cru_bag_swi_smu_3","Cruise_ship_baggage_swine_products_by_products_smuggled_commercial_products","Cruise_ship","baggage","swine products/by-products","smuggled commercial products"
"Exp_NA_NA_smu_1","Express_courier_NA_NA_smuggled_commercial_products","Express_courier","NA","NA","smuggled commercial products"
"Exp_bag_fom_per_2","Express_courier_baggage_fomite_personal_effects","Express_courier","baggage","fomite","personal effects"
"Exp_bag_fom_smu_3","Express_courier_baggage_fomite_smuggled_commercial_products","Express_courier","baggage","fomite","smuggled commercial products"
"Exp_bag_fom_uns_4","Express_courier_baggage_fomite_unspecified_feed","Express_courier","baggage","fomite","unspecified feed"
"Exp_bag_oth_pla_5","Express_courier_baggage_other_products_plasma","Express_courier","baggage","other products","plasma"
"Exp_bag_swi_per_6","Express_courier_baggage_swine_products_by_products_personal_use_or_consumption","Express_courier","baggage","swine products/by-products","personal use or consumption"
"Exp_bag_swi_smu_7","Express_courier_baggage_swine_products_by_products_smuggled_commercial_products","Express_courier","baggage","swine products/by-products","smuggled commercial products"
"Lan_NA_NA_smu_1","Land_Border___Truck___Conveyance___CBP_NB_NA_NA_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP NB","NA","NA","smuggled commercial products"
"Lan_bag_swi_per_2","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption"
"Lan_bag_swi_smu_3","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products"
"Lan_NA_NA_smu_1","Land_Border___Truck___Conveyance___CBP_SB_NA_NA_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","NA","NA","smuggled commercial products"
"Lan_bag_swi_per_2","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption"
"Lan_bag_swi_smu_3","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products"
"Lan_con_fom_pla_4","Land_Border___Truck___Conveyance___CBP_SB_conveyance_fomite_plant_based_feed","Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed"
"Mar_con_swi_com_1","Maritime_Port___Vessel___Cargo___CBP_container_swine_products_by_products_commercial","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial"
"Ped_NA_NA_smu_1","Pedestrian_SB_NA_NA_smuggled_commercial_products","Pedestrian SB","NA","NA","smuggled commercial products"
"Ped_bag_fom_uns_2","Pedestrian_SB_baggage_fomite_unspecified_feed","Pedestrian SB","baggage","fomite","unspecified feed"
"Ped_bag_swi_per_3","Pedestrian_SB_baggage_swine_products_by_products_personal_use_or_consumption","Pedestrian SB","baggage","swine products/by-products","personal use or consumption"
"Ped_bag_swi_smu_4","Pedestrian_SB_baggage_swine_products_by_products_smuggled_commercial_products","Pedestrian SB","baggage","swine products/by-products","smuggled commercial products"
