"short_name","full_name","pathway","container","product_pathway","product_subpathway","file_path","risk_value","cell_count"
"LandBorderTruckConveyance_bag_swi_per_3","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_swi_per_3.gpkg",2650018.01423356,3573
"Expresscourier_pac_swi_per_5","Express_courier_package_swine_products_by_products_personal_use_or_consumption","Express_courier","package","swine products/by-products","personal use or consumption","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_Expresscourier_pac_swi_per_5.gpkg",1093059.33973349,3573
"AirportAircraftPersonCBP_bag_swi_per_2","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_AirportAircraftPersonCBP_bag_swi_per_2.gpkg",811389.128535239,3573
"LandBorderTruckConveyance_bag_swi_smu_4","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_swi_smu_4.gpkg",637028.487772481,3573
"Expresscourier_pac_oth_smu_3","Express_courier_package_other_products_smuggled_commercial_products","Express_courier","package","other products","smuggled commercial products","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_Expresscourier_pac_oth_smu_3.gpkg",416415.87,3573
"LandBorderTruckConveyance_bag_oth_ani_1","Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_animal_based_feed","Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_oth_ani_1.gpkg",271361.46802405,3573
"Expresscourier_pac_oth_uns_4","Express_courier_package_other_products_unspecified_feed","Express_courier","package","other products","unspecified feed","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_Expresscourier_pac_oth_uns_4.gpkg",247445.826,3573
"AirportAircraftPersonCBP_bag_swi_smu_3","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_AirportAircraftPersonCBP_bag_swi_smu_3.gpkg",185073.15,3573
"PedestrianSB_bag_swi_per_2","Pedestrian_SB_baggage_swine_products_by_products_personal_use_or_consumption","Pedestrian SB","baggage","swine products/by-products","personal use or consumption","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_PedestrianSB_bag_swi_per_2.gpkg",178234.228774878,3573
"Expresscourier_pac_oth_pla_2","Express_courier_package_other_products_plasma","Express_courier","package","other products","plasma","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_Expresscourier_pac_oth_pla_2.gpkg",166473.53,3573
"LandBorderTruckConveyance_bag_oth_smu_2","Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_oth_smu_2.gpkg",115083.928139498,3573
"LandBorderTruckConveyance_bag_swi_per_3","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_swi_per_3.gpkg",77568.249410645,3573
"AirportAircraftPersonCBP_bag_oth_ani_1","Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_AirportAircraftPersonCBP_bag_oth_ani_1.gpkg",69728.3877068671,3573
"PedestrianSB_bag_swi_smu_3","Pedestrian_SB_baggage_swine_products_by_products_smuggled_commercial_products","Pedestrian SB","baggage","swine products/by-products","smuggled commercial products","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_PedestrianSB_bag_swi_smu_3.gpkg",59519.578,3573
"LandBorderTruckConveyance_bag_oth_ani_1","Land_Border___Truck___Conveyance___CBP_NB_baggage_other_products_animal_based_feed","Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed","C:/Users/Dalon.White/OneDrive - USDA/Desktop/Projects/asf-risk-framework2/asf-risk-framework2/output/spatial layers/risk at final destinations/risk_LandBorderTruckConveyance_bag_oth_ani_1.gpkg",58517.4126310942,3573
