"short_name","full_name","pathway","container","product_pathway","product_subpathway"
"AirportAircraftCargoCBP_con_fom_pla","Airport___Aircraft___Cargo___CBP_container_fomite_plant_based_feed","Airport - Aircraft - Cargo - CBP","container","fomite","plant based feed"
"AirportAircraftCargoCBP_con_oth_ani","Airport___Aircraft___Cargo___CBP_container_other_products_animal_based_feed","Airport - Aircraft - Cargo - CBP","container","other products","animal-based feed"
"AirportAircraftCargoCBP_con_swi_com","Airport___Aircraft___Cargo___CBP_container_swine_products_by_products_commercial","Airport - Aircraft - Cargo - CBP","container","swine products/by-products","commercial"
"AirportAircraftExpressCarri_pac_fom_pla","Airport___Aircraft___Express_Carrier___CBP_package_fomite_plant_based_feed","Airport - Aircraft - Express Carrier - CBP","package","fomite","plant based feed"
"AirportAircraftExpressCarri_pac_fom_smu","Airport___Aircraft___Express_Carrier___CBP_package_fomite_smuggled_commercial_products","Airport - Aircraft - Express Carrier - CBP","package","fomite","smuggled commercial products"
"AirportAircraftExpressCarri_pac_oth_ani","Airport___Aircraft___Express_Carrier___CBP_package_other_products_animal_based_feed","Airport - Aircraft - Express Carrier - CBP","package","other products","animal-based feed"
"AirportAircraftExpressCarri_pac_oth_smu","Airport___Aircraft___Express_Carrier___CBP_package_other_products_smuggled_commercial_products","Airport - Aircraft - Express Carrier - CBP","package","other products","smuggled commercial products"
"AirportAircraftExpressCarri_pac_swi_per","Airport___Aircraft___Express_Carrier___CBP_package_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Express Carrier - CBP","package","swine products/by-products","personal use or consumption"
"AirportAircraftExpressCarri_pac_swi_smu","Airport___Aircraft___Express_Carrier___CBP_package_swine_products_by_products_smuggled_commercial_products","Airport - Aircraft - Express Carrier - CBP","package","swine products/by-products","smuggled commercial products"
"LandBorderRailCargoCBP_con_swi_com","Land_Border___Rail___Cargo___CBP_container_swine_products_by_products_commercial","Land Border - Rail - Cargo - CBP","container","swine products/by-products","commercial"
"LandBorderTruckCargoCBP_con_oth_ani","Land_Border___Truck___Cargo___CBP_container_other_products_animal_based_feed","Land Border - Truck - Cargo - CBP","container","other products","animal-based feed"
"LandBorderTruckCargoCBP_con_swi_com","Land_Border___Truck___Cargo___CBP_container_swine_products_by_products_commercial","Land Border - Truck - Cargo - CBP","container","swine products/by-products","commercial"
"LandBorderTruckConveyanceCB_bag_swi_per","Land_Border___Truck___Conveyance___CBP_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP","baggage","swine products/by-products","personal use or consumption"
"MaritimePortVesselCargoCBP_con_oth_ani","Maritime_Port___Vessel___Cargo___CBP_container_other_products_animal_based_feed","Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed"
"MaritimePortVesselCargoCBP_con_swi_com","Maritime_Port___Vessel___Cargo___CBP_container_swine_products_by_products_commercial","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial"
"MaritimePortVesselCargoPIS_con_swi_com","Maritime_Port___Vessel___Cargo___PIS_container_swine_products_by_products_commercial","Maritime Port - Vessel - Cargo - PIS","container","swine products/by-products","commercial"
"MaritimePortVesselConveyanc_bag_swi_smu","Maritime_Port___Vessel___Conveyance___CBP_baggage_swine_products_by_products_smuggled_commercial_products","Maritime Port - Vessel - Conveyance - CBP","baggage","swine products/by-products","smuggled commercial products"
"NonPortNonTransportCommerce_con_oth_ani","Non_Port___Non_Transport___Commerce_Site___SITC_container_other_products_animal_based_feed","Non-Port - Non-Transport - Commerce Site - SITC","container","other products","animal-based feed"
"NonPortNonTransportCommerce_con_swi_com","Non_Port___Non_Transport___Commerce_Site___SITC_container_swine_products_by_products_commercial","Non-Port - Non-Transport - Commerce Site - SITC","container","swine products/by-products","commercial"
"NonPortNonTransportExpressC_pac_oth_ani","Non_Port___Non_Transport___Express_Carrier___SITC_package_other_products_animal_based_feed","Non-Port - Non-Transport - Express Carrier - SITC","package","other products","animal-based feed"
"NonPortNonTransportExpressC_pac_swi_per","Non_Port___Non_Transport___Express_Carrier___SITC_package_swine_products_by_products_personal_use_or_consumption","Non-Port - Non-Transport - Express Carrier - SITC","package","swine products/by-products","personal use or consumption"
"NonPortNonTransportExpressC_pac_swi_smu","Non_Port___Non_Transport___Express_Carrier___SITC_package_swine_products_by_products_smuggled_commercial_products","Non-Port - Non-Transport - Express Carrier - SITC","package","swine products/by-products","smuggled commercial products"
