"short_name","full_name","pathway","container","product_pathway","product_subpathway"
"AirportAircraftPersonCBP_bag_oth_ani","Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed"
"AirportAircraftPersonCBP_bag_swi_per","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption"
"AirportAircraftPersonCBP_bag_swi_smu","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products"
"AirportAircraftPersonPreCle_bag_oth_ani","Airport___Aircraft___Person___Pre_Clearance_baggage_other_products_animal_based_feed","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed"
"AirportAircraftPersonPreCle_bag_swi_per","Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption"
"Expresscourier_pac_fom_per","Express_courier_package_fomite_personal_effects","Express_courier","package","fomite","personal effects"
"Expresscourier_pac_oth_pla","Express_courier_package_other_products_plasma","Express_courier","package","other products","plasma"
"Expresscourier_pac_oth_smu","Express_courier_package_other_products_smuggled_commercial_products","Express_courier","package","other products","smuggled commercial products"
"Expresscourier_pac_oth_uns","Express_courier_package_other_products_unspecified_feed","Express_courier","package","other products","unspecified feed"
"Expresscourier_pac_swi_per","Express_courier_package_swine_products_by_products_personal_use_or_consumption","Express_courier","package","swine products/by-products","personal use or consumption"
"LandBorderTruckConveyanceCB_bag_oth_ani","Land_Border___Truck___Conveyance___CBP_NB_baggage_other_products_animal_based_feed","Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed"
"LandBorderTruckConveyanceCB_bag_oth_smu","Land_Border___Truck___Conveyance___CBP_NB_baggage_other_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP NB","baggage","other products","smuggled commercial products"
"LandBorderTruckConveyanceCB_bag_swi_per","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption"
"LandBorderTruckConveyanceCB_bag_swi_smu","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products"
"LandBorderTruckConveyanceCB_bag_oth_ani","Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_animal_based_feed","Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed"
"LandBorderTruckConveyanceCB_bag_oth_smu","Land_Border___Truck___Conveyance___CBP_SB_baggage_other_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products"
"LandBorderTruckConveyanceCB_bag_swi_per","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption"
"LandBorderTruckConveyanceCB_bag_swi_smu","Land_Border___Truck___Conveyance___CBP_SB_baggage_swine_products_by_products_smuggled_commercial_products","Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products"
"LandBorderTruckConveyanceCB_con_fom_pla","Land_Border___Truck___Conveyance___CBP_SB_conveyance_fomite_plant_based_feed","Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed"
"MaritimePortVesselMailCBP_pac_oth_ani","Maritime_Port___Vessel___Mail___CBP_package_other_products_animal_based_feed","Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed"
"MaritimePortVesselMailCBP_pac_swi_per","Maritime_Port___Vessel___Mail___CBP_package_swine_products_by_products_personal_use_or_consumption","Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption"
"PedestrianSB_bag_oth_uns","Pedestrian_SB_baggage_other_products_unspecified_feed","Pedestrian SB","baggage","other products","unspecified feed"
"PedestrianSB_bag_swi_per","Pedestrian_SB_baggage_swine_products_by_products_personal_use_or_consumption","Pedestrian SB","baggage","swine products/by-products","personal use or consumption"
"PedestrianSB_bag_swi_smu","Pedestrian_SB_baggage_swine_products_by_products_smuggled_commercial_products","Pedestrian SB","baggage","swine products/by-products","smuggled commercial products"
