"layer_name","scenario","point_count","total_risk"
"MaritimePortVesselCargoCBP_con_oth_ani","EAN",7,15110634.8
"MaritimePortVesselCargoCBP_con_swi_com","EAN",15,524249.0384
"LandBorderTruckCargoCBP_con_oth_ani","EAN",7,85680.99
"AirportAircraftCargoCBP_con_swi_com","EAN",48,46907.79126
"LandBorderTruckCargoCBP_con_swi_com","EAN",8,41417.26
"AirportAircraftExpressCarri_pac_swi_per","EAN",25,35152.23597
"NonPortNonTransportCommerce_con_swi_com","EAN",43,30750.9673
"AirportAircraftExpressCarri_pac_swi_smu","EAN",13,30352.585
"LandBorderRailCargoCBP_con_swi_com","EAN",4,16916
"AirportAircraftExpressCarri_pac_oth_smu","EAN",4,7601.2
"AirportAircraftCargoCBP_con_oth_ani","EAN",26,5790.972
"NonPortNonTransportCommerce_con_oth_ani","EAN",3,4555.95
"MaritimePortVesselConveyanc_bag_swi_smu","EAN",1,3292
"AirportAircraftExpressCarri_pac_oth_ani","EAN",14,1084.415
"NonPortNonTransportExpressC_pac_swi_per","EAN",8,867.812
"NonPortNonTransportExpressC_pac_swi_smu","EAN",4,455.42
"NonPortNonTransportExpressC_pac_oth_ani","EAN",1,52
"AirportAircraftExpressCarri_pac_fom_smu","EAN",1,50
"AirportAircraftExpressCarri_pac_fom_pla","EAN",1,16.35
"AirportAircraftCargoCBP_con_fom_pla","EAN",5,10.85
"MaritimePortVesselCargoPIS_con_swi_com","EAN",1,1.81
"LandBorderTruckConveyanceCB_bag_swi_per","EAN",1,0.75
