"layer_name","scenario","point_count","total_risk"
"Expresscourier_pac_swi_per","current",29,2732290.22115897
"AirportAircraftPersonCBP_bag_swi_per","current",176,1613996.67008819
"MaritimePortVesselCargoCB_con_swi_com","current",53,524557.13
"Expresscourier_pac_swi_smu","current",29,381875.4
"MaritimePortVesselCargoCB_con_oth_ani","current",53,169753.5
"AirportAircraftPersonCBP_bag_swi_smu","current",176,98528.8933798835
"Expresscourier_pac_oth_uns","current",29,56627.76
"AirportAircraftPersonCBP_bag_oth_ani","current",176,33453.9086035538
"AirportAircraftPersonPreC_bag_swi_per","current",9,5466.53729578904
"LandBorderTruckConveyance_bag_swi_per","current",42,283.020685395089
"AirportAircraftPersonPreC_bag_oth_ani","current",9,254.268
