"layer_name","scenario","point_count","total_risk"
"LandBorderTruckConveyanceCB_bag_swi_per","mex_can",32,2638761.91629507
"AirportAircraftPersonCBP_bag_swi_per","mex_can",176,814071.943490419
"LandBorderTruckConveyanceCB_bag_swi_smu","mex_can",32,666056.295961214
"LandBorderTruckConveyanceCB_bag_oth_ani","mex_can",32,269212.74287235
"Expresscourier_pac_swi_per","mex_can",29,210626.323875195
"AirportAircraftPersonCBP_bag_swi_smu","mex_can",176,184782.5
"PedestrianSB_bag_swi_per","mex_can",29,177926.412280037
"LandBorderTruckConveyanceCB_bag_oth_smu","mex_can",32,114455.820358885
"Expresscourier_pac_oth_smu","mex_can",29,80447.87
"LandBorderTruckConveyanceCB_bag_swi_per","mex_can",42,77105.69861506
"AirportAircraftPersonCBP_bag_oth_ani","mex_can",176,69208.9816825591
"PedestrianSB_bag_swi_smu","mex_can",29,60014.5458
"LandBorderTruckConveyanceCB_bag_oth_ani","mex_can",42,58102.9615336743
"LandBorderTruckConveyanceCB_bag_oth_smu","mex_can",42,51384.3322733047
"LandBorderTruckConveyanceCB_bag_swi_smu","mex_can",42,48679.0399047289
"Expresscourier_pac_oth_uns","mex_can",29,47736.998
"AirportAircraftPersonPreCle_bag_swi_per","mex_can",9,36598.4049585715
"Expresscourier_pac_oth_pla","mex_can",29,32114.86
"MaritimePortVesselMailCBP_pac_swi_per","mex_can",8,4815.0599124705
"AirportAircraftPersonPreCle_bag_oth_ani","mex_can",9,3260.86882941912
"PedestrianSB_bag_oth_uns","mex_can",29,2550.60211604502
"Expresscourier_pac_fom_per","mex_can",29,1833.684
"MaritimePortVesselMailCBP_pac_oth_ani","mex_can",8,1370.554
"LandBorderTruckConveyanceCB_con_fom_pla","mex_can",32,158.62
